tijd s;pm 1.0 ug/m3;pm 2.5 ug/m3;pm 4.0 ug/m3;pm 10 ug/m3
1705753200;2.5168928;2.8842468;3.3804901;3.9554002
1705753260;2.4523456;2.7956789;3.2567890;3.8234567
1705753320;2.6789012;3.0234567;3.4890123;4.0567890
1705753380;2.3456789;2.6890123;3.1234567;3.6789012
1705753440;2.7890123;3.1567890;3.6234567;4.2345678
1705753500;2.4234567;2.7234567;3.1890123;3.7456789
1705753560;2.5567890;2.8567890;3.3234567;3.8901234
1705753620;2.6234567;2.9890123;3.4567890;4.0234567
1705753680;2.3890123;2.7567890;3.2234567;3.7890123
1705753740;2.7234567;3.0567890;3.5678901;4.1234567
1705753800;2.4890123;2.8234567;3.2890123;3.8567890
1705753860;2.5234567;2.8901234;3.3567890;3.9234567
1705753920;2.6567890;3.0123456;3.4234567;4.0890123
1705753980;2.4567890;2.7890123;3.2567890;3.8123456
1705754040;2.8123456;3.1234567;3.6345678;4.2567890
1705754100;2.5890123;2.9567890;3.4123456;3.9890123
1705754160;2.7567890;3.0890123;3.5234567;4.1567890
1705754220;2.6890123;3.0234567;3.4890123;4.0567890
1705754280;2.4123456;2.7234567;3.1567890;3.7234567
1705754340;2.9234567;3.2567890;3.7890123;4.4234567
